<<<<<<< HEAD
"V1","V2","V3"
-0.437157129490288,-0.32683337498132,-0.504806663337036
-0.565694902754881,-0.318573127301958,-0.503512253594554
-0.322204713044342,-0.404148158772791,-0.486695456488715
-0.369369928897064,-0.328062824873838,-0.496090958159439
-0.508074342572183,-0.0957681693041263,-0.569098833166722
-0.521028906117386,-0.272244108067718,-0.523264465599348
-0.499318278686537,-0.191468644788298,-0.46190844173081
-0.379063676849438,-0.173541486515362,-0.525013730233199
-0.356857330979267,-0.332401382809694,-0.477758438419206
-0.57031305579488,-0.17172010857787,-0.494435134517054
-0.598207048997355,-0.29748885877218,-0.477524544545999
-0.395061848851661,-0.387499480019839,-0.490364659772129
-0.509485509823802,-0.193353253447279,-0.567464198819442
-0.535214647248267,-0.172101388411847,-0.555023794258199
-0.513455969299457,-0.392332752538753,-0.513335759374899
-0.532219419651971,-0.298643236676432,-0.473908833974968
-0.56950749510102,-0.135894716685424,-0.477517816508281
-0.558613112973205,-0.411553780572714,-0.474579243802885
-0.710553317164911,-0.392612770330015,-0.46749435617212
-0.490332645691587,-0.223392999797398,-0.495938569452658
-0.381163785099997,-0.300304353090384,-0.525332496207713
-0.412341072732459,-0.33918484551853,-0.463401076286615
-0.457587326439518,-0.222894554958426,-0.519505368778101
-0.470548714222438,-0.239180856180778,-0.516881944611678
-0.559461941526374,-0.259070368250259,-0.52150602868361
-0.502666249982323,-0.292768554123198,-0.435741177778393
-0.469624210244333,-0.353793960735074,-0.464608701600148
-0.370787234346327,-0.26790791443706,-0.447917288552598
-0.589629523468075,-0.214141059342612,-0.54014229890617
-0.566363001091253,-0.116434702461076,-0.570521682058669
-0.665503904745142,-0.135248728901178,-0.544709910007919
-0.522956589671551,-0.349046154917921,-0.507331045621647
-0.4612098008125,-0.25825434196051,-0.598949281033449
-0.515778646352026,-0.321033919055239,-0.540001982311928
-0.646693072346546,-0.1452822451278,-0.472080093419889
-0.505163297930616,-0.275976359785328,-0.577621165619046
-0.423321497727501,-0.20683718303609,-0.552378785686245
-0.65952115808642,-0.240982208037537,-0.518829303536959
-0.583995874646988,-0.17252654805305,-0.485478550195847
-0.506493854652584,-0.225134583020336,-0.483861400171825
-0.593691232477566,-0.247519074759271,-0.492411067284786
-0.460547031835627,-0.263434191395859,-0.563573281701227
-0.464108758989843,-0.124185507358404,-0.530374627155559
-0.33128120306326,-0.10038966413093,-0.539766282067708
-0.298853080423018,-0.317272744453587,-0.469169912980456
-0.550476857217059,-0.300490817399845,-0.45499851547835
-0.378873533618439,-0.262841678266743,-0.473010474910514
-0.450873781644336,-0.117265724857825,-0.532983626305128
-0.411561030657013,-0.338777168888175,-0.552410798967735
-0.504991640641338,-0.247333068902342,-0.525872736605493
-0.434471238082396,-0.354741876388854,-0.470035952678081
-0.551588499342672,-0.205750905323711,-0.475527289915407
-0.456953291514027,-0.216297370933188,-0.490224195648557
-0.384850864824583,-0.187248554023559,-0.57120061448907
-0.331794838203015,-0.447502478892379,-0.52114609917655
-0.561692328480649,-0.290301826012501,-0.504434408648772
-0.565812163875609,-0.203046876948874,-0.500967931622469
-0.332823506908444,-0.500284846703155,-0.476129487628875
-0.309649407528422,-0.382023039419218,-0.502883316743895
-0.586991284187701,-0.420313012258373,-0.490818494492248
-0.430711870534242,-0.266898611205923,-0.502411386237866
-0.602889796360468,-0.276568903134047,-0.481028772057606
-0.592850647519157,-0.183066101696924,-0.467697220820148
-0.412376525789379,-0.124673008420306,-0.536860355657405
-0.408587040661952,-0.347982042043456,-0.510955510774698
-0.376685580033104,-0.139057491875161,-0.498560862978196
-0.741212317275548,-0.283991565436582,-0.413218024225081
-0.494165217878378,-0.223920788441576,-0.51664012353782
-0.490781774873033,-0.167712530134903,-0.567383874293786
-0.495303994767196,-0.167446293440403,-0.519792909316682
-0.398718812346399,-0.0174348719640595,-0.528966695606633
-0.542201002939084,-0.288920703653406,-0.480843767536865
-0.440391308269306,-0.195635533637452,-0.493194215302992
-0.500109080258733,-0.26522579848758,-0.510453071498393
-0.417408165596225,-0.174222360474484,-0.469769718091313
-0.485462877117058,-0.243188377301891,-0.512489051882574
-0.308038107897618,-0.222438980414811,-0.507300516539588
-0.324617850944018,-0.214159691936683,-0.517635370163267
-0.468421199401053,-0.152194547214335,-0.514400629565711
-0.419423528538535,-0.14758832950029,-0.478610599965856
-0.517972385506827,-0.32056078072276,-0.566459249330849
-0.632965194302032,-0.175654134474669,-0.440339283822194
-0.525246268225639,-0.294417298054752,-0.527541576991403
-0.456053800248514,-0.199377171849178,-0.534958638476501
-0.428505496631038,-0.323692336693411,-0.545816688260179
-0.52091747978873,-0.148724226209728,-0.468880405389162
-0.532290882871641,-0.19103682127896,-0.536620684329881
-0.41463177550676,-0.159342986806966,-0.58638682845916
-0.541194597392468,-0.243538692350309,-0.539460519105489
-0.455749345956757,-0.153709305612476,-0.48945848884795
-0.487543493294908,-0.389346194185391,-0.473110617652092
-0.358847538015912,-0.277654415725599,-0.435614593682122
-0.582708856989746,-0.327563204877907,-0.474728914880718
-0.357374423236799,-0.221251222766073,-0.554359119518401
-0.452292022918889,-0.29843791661884,-0.501426736954274
-0.519355333066514,-0.417288974434878,-0.511697437972345
-0.417360814822907,-0.136816913800917,-0.479958541625332
-0.559732333976289,-0.361404873126767,-0.456376058678403
-0.503611008315543,-0.263844529721958,-0.499861857615609
-0.601498313462403,-0.236463552527356,-0.479388160553883
-0.503370948115931,-0.173288582170959,-0.478633606492437
-0.41629647480204,-0.204402164289823,-0.506524653427173
-0.565246117129006,-0.150521316366535,-0.534659311673917
-0.482836217727383,-0.311163791740642,-0.468655019364257
-0.402677962850158,-0.286388146624688,-0.44722237860113
-0.493937215715107,-0.324880865881233,-0.465208245437822
-0.626262818226349,-0.135835685243961,-0.54192034857683
-0.516295352013874,-0.400124747168884,-0.491642447501915
-0.466654141521656,-0.180523245020363,-0.510012473459695
-0.562347906136524,-0.230857475115382,-0.450761046158761
-0.604099202973203,-0.369344782503487,-0.485260716073729
-0.386731372421389,-0.295504908984884,-0.551748804066963
-0.382160356710727,-0.142083797241596,-0.53800595521237
-0.464790295225908,-0.286684870206409,-0.519702361975872
-0.491567144369863,-0.112592118128814,-0.553003358092584
-0.647647219648109,-0.382959610823786,-0.506715210457377
-0.488110256593481,-0.186964943034672,-0.410701382062925
-0.440099435135315,-0.164436148000851,-0.483699802919693
-0.507120386033122,-0.283749204857767,-0.461187661866217
-0.635883019768005,-0.182989553987789,-0.50690553812276
-0.414040049851456,-0.216332577122414,-0.505958676947926
-0.571610926930357,-0.359989156672493,-0.456896774905369
-0.586447466639952,-0.256973041555427,-0.498011441621853
-0.646832940932681,-0.31792272894593,-0.521614269334671
-0.536226722723833,-0.409938711089897,-0.516381326950083
-0.512995001180102,-0.257793588128055,-0.529732222153406
-0.442434398429185,-0.294170528993595,-0.508567524938289
-0.482979208781808,-0.241596292238574,-0.520562377208191
-0.514453291185113,-0.172696240957106,-0.522098433392015
-0.444295846510452,-0.155320771168674,-0.499467422204919
-0.315215339219855,-0.145159604572687,-0.519446469989533
-0.473737772849148,-0.261124366589902,-0.476976574605715
-0.43845171587255,-0.351928550861425,-0.476763996181407
-0.489586755457129,-0.255582085540763,-0.499208669921244
-0.444122686828317,-0.360402495702523,-0.461824721648781
-0.399484378576086,-0.298029705691184,-0.47450909491839
-0.360078803381748,-0.234932651273978,-0.47956395033682
-0.459842875893106,-0.381129419479927,-0.46006045487976
-0.659466646786874,-0.251757724079396,-0.494727087703432
-0.565610874811667,-0.249841848153865,-0.446743933339282
-0.382698422019039,-0.163395055784306,-0.52468300642148
-0.412267142227214,-0.165665316464426,-0.515616314159508
-0.534256802734258,-0.0731855416309275,-0.587399817007768
-0.451401828830049,-0.208299900833261,-0.483533888072443
-0.482788192306758,-0.255549475350202,-0.48863951801547
-0.459727307675681,-0.341488729497409,-0.527073515361478
-0.432330394165136,-0.254420154541671,-0.460213521623183
-0.387184079703202,-0.143990677582791,-0.576868953953716
-0.570792467093496,-0.274028705934162,-0.452261571631644
-0.445011071662824,-0.175081547534071,-0.498960778704046
-0.46543930491762,-0.30337812977872,-0.52310226847088
-0.547489983434096,-0.202522124740771,-0.512111713719514
-0.55186499968966,-0.254741567340364,-0.458988150559451
-0.517156815715939,-0.124196612963507,-0.459609496843757
-0.579486779241585,-0.338028583381185,-0.504480305482039
-0.471540931974545,-0.181444064004802,-0.464634335658451
-0.488237837382673,-0.0917862664182121,-0.49123586765211
-0.45439606208786,-0.33081788396357,-0.47409214810863
-0.417430692334952,-0.338362906838921,-0.540368889858796
-0.560281805409412,-0.143525538564004,-0.489416799749203
-0.440638371972582,-0.197225572683688,-0.493095546523641
-0.419465704341283,-0.22043316906441,-0.487722990879538
-0.52641723858423,-0.308732306999866,-0.526433510165879
-0.638294646621114,-0.199296973245809,-0.513470881986479
-0.607361131821282,-0.279742305353446,-0.506015335385361
-0.510118099328389,-0.341983499121671,-0.429272047909983
-0.493535615299497,-0.218728939654359,-0.523124293098935
-0.435805949213953,-0.249717526783825,-0.496960933859591
-0.506729583179457,-0.12668045489965,-0.527147435080726
-0.539328694834809,-0.311785249172275,-0.472674339406232
-0.515812899126188,-0.235664923573854,-0.515212694838416
-0.591953274245,-0.36103483941544,-0.438375544795094
-0.439583904774508,-0.186932840061056,-0.500279723538768
-0.599790638504525,-0.31035765601217,-0.433567403324789
-0.467176544195024,-0.177526068126262,-0.550256733203235
-0.578984040837534,-0.200912194909713,-0.491371325650873
-0.54132982367212,-0.267313336194497,-0.48034335677504
-0.419275239441866,-0.165867594876644,-0.539309283348708
-0.621600883208316,-0.268426644616252,-0.522544915592031
-0.590212927636505,-0.244738730108108,-0.547223355265903
-0.547356141427517,-0.24736131125375,-0.469716610098025
-0.516301965115189,-0.390407019889878,-0.510785118684962
-0.483591816291064,-0.374527467360058,-0.46429756467008
-0.576624947732435,-0.252837764356142,-0.492576061318088
-0.481474969537297,-0.141037321013694,-0.5095943140787
-0.496672510329471,-0.15683369383726,-0.46093052403269
-0.33783318119819,-0.168391521029135,-0.50842660617452
-0.423543956392092,-0.225025890907045,-0.52301189563816
-0.414477868110047,-0.157555368624607,-0.543404054122632
-0.459146557619478,-0.241761555609156,-0.498629983280292
-0.485331945344445,-0.293475007475007,-0.451304474976611
-0.47869780300458,-0.125509961246954,-0.463901215328072
-0.483031027493271,-0.315243433394421,-0.469703128770283
-0.469476796626606,-0.20509504739134,-0.501325832315487
-0.385665430519355,-0.344121467366334,-0.456792054081431
-0.526366058552946,-0.275286930760041,-0.502031056080056
-0.486352907322711,-0.0805020447541073,-0.54679988360328
-0.630563078823147,-0.233603095033427,-0.49339839305501
-0.737333924701038,-0.120613248744504,-0.490403916577524
-0.43471728446292,-0.225222363894651,-0.565824270486855
-0.642140717763811,-0.307102117970602,-0.490630790237795
-0.453679135467467,-0.10844535862523,-0.492564816813576
-0.390398447531595,-0.294509659963333,-0.50495789815813
-0.512808577348649,-0.316568368431044,-0.542853957623441
-0.48758009947435,-0.27305811684002,-0.482984464663136
-0.501954430974455,-0.198847262876228,-0.520689225183929
-0.44484745258323,-0.271068292162287,-0.472236379176459
-0.528566076591684,-0.297234266750922,-0.521060949396198
-0.329509292674987,-0.25973429198002,-0.509961433964598
-0.479905852340039,-0.248361712654454,-0.46624778098088
-0.465468298778876,-0.296500758885405,-0.525402578353213
-0.550750550483662,-0.320823281076657,-0.49627397070827
-0.488132011342674,-0.30859819699647,-0.492573746052129
-0.307667241730346,-0.258488149664055,-0.541406556915438
-0.475007208339859,-0.20917328672401,-0.493024244215476
-0.565520003895762,-0.134442280063502,-0.511356401970761
-0.520164493782585,-0.211296132020542,-0.450938648103844
-0.450586290392975,-0.259816663224273,-0.491944639478862
-0.479759875028052,-0.355006750216872,-0.502254256610261
-0.556000221302456,-0.227311957589917,-0.532613176106768
-0.425879346706957,-0.295858722252497,-0.463448446697246
-0.456459734565684,-0.273870413490443,-0.501793478848015
-0.458136149881241,-0.220631623188323,-0.523720993302753
-0.530421010708249,-0.248080229837297,-0.509128248663002
-0.574226378729942,-0.26264161294354,-0.458176168834915
-0.451575942575012,-0.160080679781058,-0.494957557433663
-0.416844018367058,-0.298203307698128,-0.512571883379803
-0.528507897092845,-0.33832259758689,-0.4679834254804
-0.368827417378551,-0.223065335929756,-0.427208791273874
-0.387000898141843,-0.256343093731918,-0.499945837388126
-0.651857744126133,-0.120590859068326,-0.5183822215761
-0.41996062127115,-0.281707210135518,-0.534383009398823
-0.47290252225185,-0.077967155158052,-0.483112848898157
-0.456818307139712,-0.249433712249302,-0.542359745878689
-0.582215091036824,-0.0692418713961332,-0.496361511619442
-0.284375544883627,-0.28110741835763,-0.476830362542044
-0.502135413407434,-0.281939580413856,-0.443891624829866
-0.447887450713806,-0.226940969577531,-0.543165574877491
-0.535000392974511,-0.3041457349121,-0.483295613733082
-0.554595243707632,-0.223686563808539,-0.502346516317678
-0.488758667256603,-0.206021290895478,-0.522000582252465
-0.519258469133842,-0.400119753384616,-0.510349626616221
-0.578175129210507,-0.407052762885802,-0.498892346667711
-0.534992896259732,-0.210490414082454,-0.480021355235474
-0.509846160355441,-0.340521300401044,-0.491830372605112
-0.376883435930745,-0.31840006762675,-0.504780631680904
-0.567056073756886,-0.150509435568983,-0.522839865598228
-0.514846085243271,-0.209049143540236,-0.503743898498992
-0.596960066270231,-0.344468741800568,-0.465951514577729
-0.374932273369783,-0.113592470688802,-0.545767535062659
-0.57480627022352,-0.336884199319979,-0.501283959694243
-0.595210818167958,-0.0573206417275413,-0.523049376835641
-0.441764544919194,-0.224513421939199,-0.524372422792863
-0.415627804951876,-0.145186931167427,-0.524607248362827
-0.539013956644383,-0.263597151339795,-0.458230835569912
-0.487465570958029,-0.362534944649767,-0.550713490884868
-0.623027310721736,-0.140010368536693,-0.527262920929249
-0.542530968388927,-0.405180502594859,-0.493507710725521
-0.574915873267675,-0.284491164867809,-0.449158470843657
-0.404490130240541,-0.229336323461075,-0.488994499357481
-0.533324184375007,-0.402566766283195,-0.489715110493979
-0.579384135934498,-0.384297216981691,-0.465855339320615
-0.51079752774896,-0.339420334565519,-0.488379413485398
-0.334696219984801,-0.12584867074352,-0.563025535664412
-0.465440016359346,-0.253033459264947,-0.526878871249077
-0.581538912797748,-0.182413795255979,-0.477981596239226
-0.535789912332001,-0.347742839296014,-0.544459873355222
-0.519075165832588,-0.216227050490137,-0.552830377956274
-0.676402717938471,-0.281855054837231,-0.478066580721375
-0.453540508996084,-0.219972146570732,-0.515857127529076
-0.44868188251419,-0.126419887460568,-0.571836420766304
-0.50722294211188,-0.34193547439256,-0.511249823515456
-0.541595167411509,-0.162828745520739,-0.512382379247098
-0.582158156484826,-0.27152395357742,-0.49133815364933
-0.538619064792558,-0.357396842914083,-0.58692342680987
-0.436965508575658,-0.132624323484659,-0.370536664798663
-0.507002941960749,-0.103200342238772,-0.436012152341703
-0.432389335825245,-0.367922471753059,-0.464503081358896
-0.410760592755532,-0.172792979650099,-0.505656957013719
-0.391263412670848,-0.110758501013364,-0.555112685889441
-0.627376507679919,-0.296791307152918,-0.516611594497044
-0.604546149690505,-0.137868328812708,-0.48419127942779
-0.487911874272996,-0.264708587626889,-0.500511775260785
-0.501162758983004,-0.380032237164946,-0.39045998646279
-0.4879971287743,-0.193442013393913,-0.505672159508482
-0.386578749707189,-0.0757613331435302,-0.469300209382199
-0.377945398871629,-0.250222211553524,-0.474167868440316
-0.506216031940671,-0.413211908672367,-0.442656846441308
-0.384350783593978,-0.151002163056741,-0.472807314224433
-0.376988514852163,-0.273576330616452,-0.518239751171271
-0.513692717589054,-0.117574570650185,-0.509119478389216
-0.468131719322858,-0.411549137614084,-0.495068155305004
-0.467410181614952,-0.219007268017305,-0.50995116390067
-0.595039024270325,-0.160581575771579,-0.53583302425516
-0.531906355917164,-0.376520195266382,-0.430601477770696
-0.458521435066465,-0.317576367731269,-0.5390234469402
-0.576531752143884,-0.308460218675315,-0.441635984067306
-0.607692127845536,-0.268496303321003,-0.435554129184751
-0.401774856864258,-0.293128398834288,-0.520450003565963
-0.37855649455366,-0.190732223327832,-0.540611331312042
-0.47575388286366,-0.321972943381765,-0.468469467209965
-0.429640794396353,-0.240871121953493,-0.502968084523783
-0.553170964462921,-0.313987574697384,-0.480711115366782
-0.441929814937015,-0.156067839658141,-0.521085484504977
-0.537547959486669,-0.331552242186743,-0.504227905997123
-0.487050405718033,-0.308633723503639,-0.491143662753133
-0.479814525665864,-0.275519838874206,-0.544561600303448
-0.589447351786287,-0.263379655211815,-0.467921970413166
-0.515116195722877,-0.131106533120935,-0.487384439092117
-0.476711955094782,-0.204559931817054,-0.545152717945866
-0.426946753504161,-0.328866620748269,-0.494546802725574
-0.40665700339334,-0.287891718838092,-0.475364252183063
-0.581814655353671,-0.330484695527616,-0.47898485947909
-0.411547055028199,-0.247913072419732,-0.521467987347613
-0.596749201544053,-0.280544029212239,-0.521771917490068
-0.447443719533258,-0.226608884059047,-0.49567848660007
-0.409882021042779,-0.318392887901972,-0.437933421801667
-0.527697118865634,-0.266293316360367,-0.499056094175005
-0.569227030452897,-0.155887776818316,-0.465481469062863
-0.478447439236952,-0.177761965142376,-0.548611539306437
-0.609290693200512,-0.192115048709261,-0.524519728602509
-0.433368365257875,-0.213596105793938,-0.567471278117841
-0.492551461319146,-0.196246865292729,-0.501542150993284
-0.493580917364581,-0.139435509483301,-0.475361327454075
-0.454408145583803,-0.188610102637817,-0.582893512373273
-0.558847142392671,-0.111747386682055,-0.473817684170841
-0.524487458991276,-0.126601406431219,-0.523074651136696
-0.558581969948181,-0.369390768746855,-0.454827486464234
-0.449062552127945,-0.376638186722669,-0.475511712035576
-0.345436116242202,-0.30880998405426,-0.482678817047294
-0.449965370289296,-0.272814473461057,-0.509245506341321
-0.561885266420801,-0.165968702611255,-0.532730640785204
-0.512581209620384,-0.196892367385865,-0.522727591991669
-0.576452342109109,-0.165148028237447,-0.46131280499914
-0.500057505520495,-0.130913203586596,-0.517090553583768
-0.364615316373022,-0.0872639699435393,-0.496035353058942
-0.518368613139484,-0.463326884646995,-0.472097760136202
-0.463994280416326,-0.0390288510099681,-0.538288228297176
-0.512211099446878,-0.257426866492278,-0.464783995478822
-0.42392605479551,-0.300821057865043,-0.580117106889203
-0.363705931078156,-0.16482625106246,-0.472620248201556
-0.530906212829181,-0.108524513740344,-0.482173395441546
-0.503682745000894,-0.209182913227983,-0.514620321279966
-0.554094073382437,-0.293724272177672,-0.470646508163428
-0.554452141043904,-0.419602963712435,-0.432730408282539
-0.657482811719736,-0.264889785001546,-0.494180002191772
-0.448952712765454,-0.417829533862164,-0.478687065598442
-0.396309577040028,-0.346011415738212,-0.491362658648498
-0.306832088138988,-0.141751997571399,-0.539323510885877
-0.547825575417102,-0.316813464471059,-0.504098604148124
-0.57996584007878,-0.194265898754246,-0.497348464692828
-0.409513201720429,-0.28842972904343,-0.532466721662106
-0.482326863684037,-0.194974391708176,-0.520579046981225
-0.423139940816459,-0.311231768264613,-0.51196170274121
-0.567323839221923,-0.289726317158801,-0.48512228374508
-0.534391483765172,-0.252226566228397,-0.540593651737699
-0.485031328807098,-0.254114225168198,-0.469866675569284
-0.530629054476946,-0.293882034009185,-0.492023721303691
-0.506407906780131,-0.133174911719205,-0.512964724745041
-0.485102655860265,-0.0714403858774923,-0.463702337237941
-0.41642975551637,-0.258859855010531,-0.584560523556372
-0.485610647589386,-0.231695801004444,-0.465345585505489
-0.461096208755403,-0.313043891237446,-0.567397147597816
-0.535166844051731,-0.345843240744239,-0.456605288554814
-0.507376935240547,-0.281676172603724,-0.462976116760238
-0.550667378400895,-0.27460859409631,-0.500600165526395
-0.496559095064246,-0.437593791220107,-0.471580124238495
-0.584545972776889,-0.225044425343116,-0.514737075592775
-0.507842508077439,-0.0869487300693536,-0.554015570913988
-0.537717125615971,-0.237672180402018,-0.548654988380599
-0.432619634783921,-0.180839819153802,-0.496988101015036
-0.457653938775173,-0.123472290578891,-0.430753871087948
-0.588471543806136,-0.000914657301995386,-0.506229304673284
-0.489589778937291,-0.301524335044779,-0.517342678719099
-0.561121310722174,-0.334001819258309,-0.492352964260063
-0.462107062396755,-0.312227566845588,-0.511257673606522
-0.497053380337868,-0.30073375113939,-0.53561210638362
-0.466809238705357,-0.315504641983118,-0.529549253066766
-0.518395701010998,-0.236759052194888,-0.5098331343985
-0.442281108502842,-0.270930549578218,-0.53537119043803
-0.46018941288246,-0.148809885016997,-0.544508192837673
-0.551975677175636,-0.113784811464755,-0.558115626474949
-0.489054481612329,-0.259701665732783,-0.49380616225108
-0.345864538413171,-0.25635407975849,-0.499283757065497
-0.491249146614004,-0.387055060396143,-0.47095645723861
-0.433622489400914,-0.156100166822091,-0.511611359810154
-0.55503228250103,-0.27755259178976,-0.484647018233127
-0.442533435372694,-0.188440662520316,-0.504154842501712
-0.566513579603371,-0.177942026177082,-0.522653385766387
-0.542374321279284,-0.271676541753382,-0.480991620042932
-0.486705010467918,-0.37096490570056,-0.444889360822079
-0.519530968416317,-0.206613878158796,-0.495200391896362
-0.529298134437152,-0.268970483439537,-0.517917920409279
-0.565572572853136,-0.20277104999448,-0.485563896431826
-0.468117929049417,-0.25978805841429,-0.517864019351528
-0.595844785706927,-0.222856298341719,-0.540052203596228
-0.422689476570667,-0.057388316196336,-0.537778715251555
-0.621935421383706,-0.29924191432633,-0.485897638370973
-0.503190102359484,-0.227942535590337,-0.501410048088549
-0.455705499352213,-0.110387257706921,-0.539695035081912
-0.411440922764757,-0.189191349981913,-0.455473049054676
-0.444270270548156,-0.179572559131531,-0.486911712115581
-0.446650858331368,-0.293176276407631,-0.544544609156229
-0.466248680728106,-0.159995945997621,-0.536199614157599
-0.57022114964939,-0.307768498483329,-0.543897043460716
-0.432205161894334,-0.178190019669955,-0.552869801126463
-0.547446742425349,-0.391480327450569,-0.45051640169354
-0.594294823981454,-0.427508939649436,-0.542910673255066
-0.530593077913961,-0.132731744357999,-0.531812502549565
-0.51721622025167,-0.276736302132996,-0.538179155028617
-0.514751610164356,-0.284091480711959,-0.564084216770164
-0.582301516317332,-0.298946111734857,-0.471096366491266
-0.491080963398437,-0.175574313108619,-0.542189221298042
-0.457442894146309,-0.270978440620836,-0.494025301486408
-0.545623121882222,-0.337462450133242,-0.481102512171194
-0.451445254672497,-0.230524727446927,-0.53311200175935
-0.569632504219665,-0.388092582658674,-0.451502327081147
-0.56096757180226,-0.29871822879391,-0.523081038753022
-0.501456185384949,-0.109538759490105,-0.544966381743522
-0.476054736448582,-0.199180331005845,-0.517036444221726
-0.297448139233652,-0.141905860606203,-0.583596167632357
-0.491949588280911,-0.313857943100118,-0.528531252717431
-0.420975414339553,-0.0700044531065173,-0.539004324038485
-0.392537563940059,-0.323652824361297,-0.486809790496719
-0.371338099495583,-0.282238186391636,-0.476729161282184
-0.561229903489957,-0.371941069402932,-0.46718709801805
-0.531449828423213,-0.300421408439582,-0.530223209804198
-0.555977838214389,-0.289982302360237,-0.492193630964936
-0.611301441641094,-0.173078978284005,-0.495915252576306
-0.504956318834024,-0.300755157275977,-0.499104159939258
-0.461464385713807,-0.244024839681332,-0.55910428696863
-0.480166234251434,-0.22538302780244,-0.477103670392068
-0.534182022194169,-0.255979668052072,-0.547499635722121
-0.58546283246481,-0.183858248874175,-0.514147166805729
-0.444013982396431,-0.205662808979377,-0.556700579417007
-0.584696949016636,-0.252989855982094,-0.443970912368081
-0.359544734442281,-0.32731755264921,-0.503551396714242
-0.537647659417072,-0.175957335050857,-0.495703404419795
-0.532083055356942,-0.229527270969901,-0.488890439135922
-0.499934059798385,-0.229843901590783,-0.431419417028305
-0.478135582867483,-0.330986079831541,-0.423473229860512
-0.552899643255892,-0.354931953140791,-0.522481944086899
-0.485485773412068,-0.101706958502147,-0.520411998803451
-0.43811035784173,-0.299686520236557,-0.51769905443812
-0.479881222460314,-0.0988447882758269,-0.532741351346273
-0.450064040073809,-0.394678399395523,-0.506665755958197
-0.472608613194312,-0.205600430231158,-0.544570341105398
-0.418145002075372,-0.298360768331963,-0.405713434811152
-0.699143399265141,-0.237708664565527,-0.527888135142229
-0.572460993166148,-0.186651313076847,-0.513010382185117
-0.474498421267414,-0.168254343970037,-0.567735849221677
-0.477042747149881,-0.206222808190147,-0.53055432468666
-0.502104256109972,-0.299307434802508,-0.550613433992318
-0.532884188963013,-0.171148891686351,-0.483733719288576
-0.636392565235913,-0.24091990093856,-0.46384829747005
-0.4828716998627,-0.206070935874839,-0.532942152860874
-0.483025143306686,-0.32202450588211,-0.5064303510788
-0.522203491561616,-0.269420388883129,-0.571183782870441
-0.445629525955865,-0.374109243638484,-0.475336877399928
-0.434403581043005,-0.19725076974997,-0.491024773417603
-0.484126554014242,-0.120965988012921,-0.515803931298783
-0.451578747836646,-0.269704338662575,-0.546496020278238
-0.429716746506749,-0.1406292552231,-0.452021704091401
-0.532193598105343,-0.330195627191689,-0.453874605499562
-0.593831345107058,-0.0439271989543146,-0.495644587076535
-0.406003930896823,-0.196986859993504,-0.47829457229762
-0.54518011446413,-0.264574991659841,-0.49634365060958
-0.347688104519401,-0.255319966066993,-0.485931699517926
-0.444657432780998,-0.33277224154123,-0.543009955773818
-0.506056852709194,-0.341111187366841,-0.489119901815678
-0.350136434338758,-0.23998688122036,-0.512988053011854
-0.523988280622966,-0.204990438030091,-0.484783850043821
-0.564302019217113,-0.151621504414112,-0.534054714538453
-0.525558935051839,-0.360951934166213,-0.501086575204369
-0.427013385177206,-0.181309594223272,-0.564658600630417
-0.399061716149893,-0.171558008881308,-0.553160086712336
-0.519552394070077,-0.167690736367039,-0.47635634346277
-0.782520438734655,-0.352038144117139,-0.522860160360334
-0.572371198517026,-0.136535500648739,-0.5472299056404
-0.532834945370926,-0.205607190096046,-0.522248254725074
-0.44580319928732,-0.26958088920046,-0.431410297354301
-0.429334708373093,-0.190111955812461,-0.556663381255426
-0.50891386994159,-0.188091859097131,-0.497735107330973
-0.410050344022717,-0.24878800484134,-0.530182735077077
-0.368630446222331,-0.263094937240419,-0.512917447562598
-0.371015023855119,-0.332961986953259,-0.46480326134673
>>>>>>> 621ca6300acfbabb03de539f778d2d7e9bdbf51d
